lat,lon,country
17.96,-66.9,United States
46.84,-121.91,United States
44.8,-111.56,United States
47.46,-115.78,United States
59.69,-153.78,United States
-22.89,-68.9,Chile
61.23,-147.57,United States
61.41,-151.01,United States
60.79,-150.68,United States
40.74,-123.12,United States
17.98,-66.72,United States
42.95,45.29,Russia
35.24,-97.78,United States
36.09,-118.92,United States
39.33,-120.13,United States
63.22,-151.78,United States
33.65,-116.73,United States
58.22,-155.13,United States
39.05,-119.99,United States
32.74,-100.66,United States
36.11,-117.79,United States
62.1,-142.0,United States
36.4,-120.38,United States
63.25,-150.58,United States
18.98,-68.96,Dominican Republic
32.88,-116.22,United States
33.26,-116.43,United States
28.82,-98.9,United States
33.78,-116.08,United States
36.09,-117.88,United States
60.53,-150.12,United States
39.65,-111.28,United States
32.72,-100.68,United States
61.46,-146.57,United States
46.89,-112.53,United States
36.45,-121.06,United States
60.98,-146.9,United States
36.48,-97.22,United States
33.99,-117.03,United States
32.39,-101.62,United States
57.03,-135.65,United States
64.21,-148.6,United States
36.13,-118.07,United States
60.58,-150.89,United States
42.5,-71.96,United States
44.33,-115.0,United States
61.32,-152.51,United States
38.83,-122.88,United States
61.3,-152.22,United States
64.89,-149.54,United States
31.77,-104.15,United States
36.73,-116.16,United States
2.2,126.74,Indonesia
62.32,-149.27,United States
36.39,-120.38,United States
33.25,-116.38,United States
18.55,-65.57,United States
63.31,-150.53,United States
62.99,-150.38,United States
36.3,-114.78,United States
59.09,-151.95,United States
38.84,-122.78,United States
44.32,-115.0,United States
34.38,-117.22,United States
35.45,-84.54,United States
0.0,123.65,Indonesia
41.18,-111.6,United States
35.24,-97.77,United States
46.45,-122.44,United States
31.65,-104.32,United States
35.25,-97.76,United States
60.0,-153.09,United States
61.45,-150.75,United States
62.72,-149.15,United States
31.67,-103.9,United States
47.67,-121.91,United States
61.65,-151.71,United States
31.53,-103.88,United States
33.51,-116.45,United States
39.05,-109.18,United States
42.23,-112.62,United States
19.68,121.5,Philippines
38.09,-118.81,United States
61.29,-152.23,United States
58.37,-152.86,United States
61.25,-150.71,United States
44.34,-115.01,United States
39.42,-110.32,United States
38.8,-122.77,United States
35.73,-98.01,United States
34.01,-117.21,United States
61.25,-149.94,United States
35.9,-97.35,United States
38.77,-122.73,United States
37.21,-117.25,United States
33.51,-116.46,United States
31.64,-104.43,United States
33.52,-116.74,United States
62.28,-150.17,United States
61.32,-152.23,United States
-0.36,132.45,Indonesia
36.42,-120.36,United States
17.93,-66.79,United States
31.14,-103.73,United States
64.25,-148.52,United States
62.85,-148.43,United States
65.9,-150.17,United States
60.04,-153.09,United States
65.07,-149.74,United States
51.51,-178.36,United States
45.47,-111.76,United States
33.19,-116.73,United States
60.79,-152.95,United States
44.3,-115.13,United States
-46.3,-75.5,Chile
38.81,-122.78,United States
31.62,-104.28,United States
36.08,-117.86,United States
61.22,-152.22,United States
63.2,-143.03,United States
32.11,-102.04,United States
63.19,-150.42,United States
31.98,-102.34,United States
28.8,129.89,Japan
33.37,-116.89,United States
60.09,-153.09,United States
63.62,-148.27,United States
33.63,-116.77,United States
60.04,-153.16,United States
31.67,-104.34,United States
31.62,-104.3,United States
34.03,-116.82,United States
61.29,-152.5,United States
34.01,-117.22,United States
33.63,-116.68,United States
19.39,-155.25,United States
34.09,-116.68,United States
36.13,-117.85,United States
59.81,-153.44,United States
19.22,-155.48,United States
58.65,-153.2,United States
61.93,-152.17,United States
61.33,-152.27,United States
61.07,-152.31,United States
